LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),Pass@1,Pass@10,GoogleBLEU,CodeBLEU,SacreBLEU
codegeex4-all-9b-Q6_K_L,Python/4-1,41.71385216712952,3382.9355133462386,488.23827337099124,883.3627066896221,64.79051819275638,11.705769538879396,21.230168053394745,0.00030984389834325403,7.427841885756376e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-2,7.343751668930054,488.2650706117597,85.94697233851525,155.2371241896,66.49010292954408,11.705769538879396,21.14235887069477,4.753678384912511e-05,6.473092499879012e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-3,7.10167932510376,469.76070880827,83.11422234928932,149.9401199520134,66.15091258688078,11.705769538879396,21.116899604631655,4.580109029598926e-05,6.449332362007218e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-4,10.247452020645142,676.7549124035211,119.93705295613042,215.82917266319,66.04342210635944,11.705769538879396,21.064363189769587,6.598403377384688e-05,6.439067354588381e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-5,7.344781398773193,488.04601643648584,85.96013409530384,153.79012303195495,66.45095488696572,11.705769538879396,20.94208522514214,4.742906798872842e-05,6.45751934790742e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-6,7.345778465270996,485.82104465651753,85.97189762474909,155.3881243103572,66.13902589128121,11.705769538879396,21.156784585298492,4.738897614659109e-05,6.45118504058274e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-7,7.344685077667236,486.5969222772437,85.95955080285921,156.39712511761329,66.25459024751993,11.705769538879396,21.29721129150397,4.750448858477089e-05,6.467872765466332e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-8,8.7870454788208,581.2957300362187,102.84291433094268,187.62915010324122,66.1561863000785,11.705769538879396,21.355795753577603,5.681141206159134e-05,6.465359966387165e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-9,7.101065635681152,471.61409929098176,83.10688235345515,150.5511204408172,66.41765479371628,11.705769538879396,21.204829194996023,4.596121153047529e-05,6.4724386294264365e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/4-10,7.33283805847168,486.82134745678394,85.820794181991,156.2631250104529,66.3921875973915,11.705769538879396,21.313378334633583,4.7501338911733914e-05,6.477892806708759e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-1,16.90294313430786,1146.9552565634644,197.82212272950824,355.5982844783867,64.82790318122147,11.705769538879396,20.64264454682274,0.0001108101757219666,6.555673461212531e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-2,10.03307843208313,663.7667760129806,117.42874194626667,211.1271689016425,66.1602228469467,11.705769538879396,21.045592137657056,6.466773998638862e-05,6.445453449222354e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-3,10.033570528030396,662.0429016338858,117.43417298500934,212.1191696951019,65.98512812330446,11.705769538879396,21.143508511776034,6.46203991381348e-05,6.44041908686517e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-4,8.301676988601685,549.066599252937,97.16135566958975,176.18114094479776,66.1420523380592,11.705769538879396,21.225377258790196,5.359480164887602e-05,6.455900623748962e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-5,10.0297212600708,661.1085168864106,117.38942691915032,212.46116996875287,65.91710183014425,11.705769538879396,21.185652858817633,6.457887857972859e-05,6.438751078439513e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-6,11.743964433670044,772.6670361331401,137.4544776984958,250.15620012477368,65.7947077154836,11.705769538879396,21.303210829866565,7.56130425229843e-05,6.4384597679980264e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-7,10.032084226608276,662.0760436604089,117.41572810574395,213.6431709143738,65.9982113421225,11.705769538879396,21.298751246313365,6.472067311876804e-05,6.451368594684268e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-8,10.032604932785034,663.6308509042371,117.4220047789877,212.87917030324843,66.14979506341135,11.705769538879396,21.221453260811554,6.477261748793238e-05,6.456211315195445e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-9,11.014312744140625,725.5701954557048,128.91364459148807,234.93418794718335,65.87734890720432,11.705769538879396,21.33238971167861,7.099525457156128e-05,6.445727138929227e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codegeex4-all-9b-Q6_K_L,Python/5-10,13.953019142150879,916.0311028243218,163.31515569802858,297.92623834077324,65.65267397943617,11.705769538879396,21.353847672512952,8.975417059071475e-05,6.43259854202988e-06,-1,-1,0.5697596795727636,0.5380627225938044,57.83972218273082
codellama-7b-instruct.Q5_K_M,Python/4-1,45.964327812194824,3681.5324002235416,537.9616831411394,31.61702529359961,65.03193070636085,11.705788135528564,0.568299144063772,0.0002770366449018822,6.027209753481513e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-2,8.942731142044067,596.1973149574807,104.66150735869223,5.916004732797742,66.67104583480783,11.705788135528564,0.6616570873278442,4.6059141194395484e-05,5.150455768243929e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-3,8.942790508270264,592.9872983894246,104.6618841271378,5.964004771191744,66.31162799992623,11.705788135528564,0.6670217845010564,4.585310327878989e-05,5.127382022019311e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-4,7.249679088592529,485.51562541219727,84.84259125047026,4.9050039240022825,66.97397150787462,11.705788135528564,0.6767283201612033,3.748878551825991e-05,5.171095859573844e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-5,8.603293895721436,571.293733034639,100.68843386444347,6.0130048103804175,66.40663387033,11.705788135528564,0.6990409373429818,4.418362701636071e-05,5.135664031927815e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-6,6.911720275878906,461.5096852074618,80.88746030686241,5.173004138397941,66.77523576457806,11.705788135528564,0.7486002511865936,3.568408193313247e-05,5.162836531111616e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-7,6.744012355804443,450.8619386892232,78.9245134507463,5.08200406559578,66.85687411497382,11.705788135528564,0.7537222140799221,3.4856337268918515e-05,5.168486567038735e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-8,7.251312017440796,483.02515041981354,84.86264091352894,4.8650038920031164,66.61512877844451,11.705788135528564,0.6710521000358868,3.7325185978845055e-05,5.1473700054653315e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-9,8.603146314620972,570.8333466663107,100.68692399978386,6.317005053596558,66.35417085799294,11.705788135528564,0.7343942647606159,4.417333724172726e-05,5.134556082889705e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/4-10,7.420705318450928,494.81547485208387,86.84492575897319,5.6780045424045795,66.68336986868343,11.705788135528564,0.7653152423964639,3.827570181695219e-05,5.157960082552132e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-1,15.263808488845825,1046.8726074974177,178.63070360497636,11.369009095202331,64.57573755633253,11.705788135528564,0.6033344128729036,8.060456407776588e-05,5.280763587715899e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-2,8.388425350189209,559.674734739396,98.17293515132974,6.459005167201715,66.72252193505814,11.705788135528564,0.7701287609348598,4.329157430610141e-05,5.160870187051844e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-3,11.432465553283691,756.6317253049237,133.8058527535588,9.009007207201602,66.18459536892996,11.705788135528564,0.7881249128465887,5.861518503784884e-05,5.12708170994778e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-4,9.251465797424316,612.9356283481102,108.27751600164277,7.074005659209181,66.25442768277829,11.705788135528564,0.7647515536832904,4.746105745218127e-05,5.130112188859285e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-5,8.753383159637451,580.7589266067614,102.44493952116511,6.314005051200056,66.34925373559729,11.705788135528564,0.7214473637585086,4.493453893554972e-05,5.1333910690379085e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-6,9.597745180130005,636.1479279179349,112.3292978196082,6.920005536005524,66.28320975895511,11.705788135528564,0.7211163797894793,4.9227768734147466e-05,5.12909728381439e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-7,9.933846950531006,657.8367942690344,116.26366184467211,6.909005527201694,66.22389907230696,11.705788135528564,0.6956058675932919,5.089686798562924e-05,5.123580848294486e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-8,8.066568613052368,536.2779870220658,94.40809739062729,6.059004847210058,66.48354872145298,11.705788135528564,0.7512489777847123,4.149543935161655e-05,5.144125258474035e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-9,10.596808671951294,702.2173307734803,124.02615793841562,7.565006052002998,66.2682987230394,11.705788135528564,0.7139866178864158,5.433767830946792e-05,5.1277398688243175e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
codellama-7b-instruct.Q5_K_M,Python/5-10,9.757317304611206,645.8678206937851,114.19810838188117,7.19600575679602,66.1946817563902,11.705788135528564,0.7376086341461051,5.000096839482495e-05,5.124458581581129e-06,-1,-1,0.25290810199200026,0.2764632734377275,28.255117966087294
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-1,50.01255917549133,3964.7988688365594,585.3528824914347,36.18902895120291,64.99635351695055,11.705788135528564,0.7209221419987454,0.00029888291076594475,5.976157103202437e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-2,9.002121686935425,599.2858714283067,105.3572200614941,6.109004887193404,66.5739949847095,11.705788135528564,0.6787304394831789,4.631833210292354e-05,5.145268383801597e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-3,7.4700281620025635,497.40274992188387,87.42452400860748,5.0860040687994434,66.58926576099321,11.705788135528564,0.6809773862640733,3.844350127361768e-05,5.1463663107947045e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-4,10.195888996124268,676.3674620935356,119.33018022310488,6.516005212810205,66.33944071917728,11.705788135528564,0.6391801277665498,5.227870354962411e-05,5.127429650273424e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-5,7.7660064697265625,516.6933043543098,90.88679996225903,4.884003907201784,66.53563595304796,11.705788135528564,0.6290234669233428,3.9913095030510474e-05,5.139461985526236e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-6,9.480571508407593,628.4808887843108,110.95715179490776,6.333005066398723,66.29388170432223,11.705788135528564,0.6681069785659707,4.8600448934358345e-05,5.126320590616117e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-7,10.538705348968506,697.5488820386524,123.34366283085957,7.265005812003011,66.19126457571912,11.705788135528564,0.68946410026624,5.396941727156579e-05,5.121067103071455e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-8,7.644836187362671,509.35585448436683,89.46843700823625,5.136004108795278,66.63025645921445,11.705788135528564,0.6719605065938609,3.9358918097101685e-05,5.148431847652159e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-9,7.639014005661011,508.57906086291536,89.40054612522329,5.2570042055999355,66.5793020126515,11.705788135528564,0.6883143340796223,3.931175699141862e-05,5.1461820808662e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/4-10,7.808490991592407,520.088806070719,91.38474830342388,5.418004334403759,66.60824685914325,11.705788135528564,0.6939929209769234,4.020162336967183e-05,5.148449734136583e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-1,12.813297986984253,887.811608248723,149.9694758289063,9.484007587193254,69.29005521922222,11.705788135528564,0.740257501542017,6.824822967500714e-05,5.326359360746444e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-2,9.643858671188354,640.5872514693864,112.86901443156034,6.918005534403693,66.42653762744038,11.705788135528564,0.7174600711221588,4.955211276391399e-05,5.138203954808473e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-3,9.651052236557007,638.7732900182144,112.95338265459257,6.457005165612372,66.18912189380262,11.705788135528564,0.6691506318433437,4.9409356038689546e-05,5.119582282596393e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-4,9.141677618026733,606.1829539459662,106.99141830815402,6.157004925599896,66.31206353054168,11.705788135528564,0.6736144487990149,4.687742715090229e-05,5.127880145156657e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-5,9.82127070426941,650.924146738896,114.94553604243322,6.74600539679604,66.27914251326501,11.705788135528564,0.6869838111221962,5.034986209028585e-05,5.12661381672315e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-6,5.0686914920806885,342.96997737577465,59.313888893618135,3.2610026087953603,67.66874648429125,11.705788135528564,0.6435437821412658,2.642857054532426e-05,5.214081501432114e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-7,9.82236647605896,649.8180088539959,114.9592476229743,6.43100514480105,66.15915607194934,11.705788135528564,0.6548274460244599,5.0258142838271016e-05,5.116704101885247e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-8,9.141501426696777,606.5688182546588,106.98842369673116,6.206004964788569,66.35570209530536,11.705788135528564,0.6789948210107484,4.690557126188058e-05,5.131057697469463e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-9,19.89596176147461,1305.565268451378,232.8556508763169,13.159010527205584,64.91900175661527,11.705788135528564,0.6818847018616663,0.00010111344706766915,5.082109036993596e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
deepseek-coder-6.7b-instruct.Q5_K_M,Python/5-10,7.451156377792358,496.10410688296633,87.17132724055739,5.047004037607438,66.58365216222099,11.705788135528564,0.6777176448543023,3.8339829334664494e-05,5.145487141960089e-06,-1,-1,0.24991150781122942,0.27708491299355775,26.873365904388606
Meta-Llama-3-8B-Instruct-Q6_K,Python/4-1,38.174808502197266,3247.9234823367146,446.8013744052984,28.437022749609742,64.77369417903675,11.705788135528564,0.7265414715312339,0.0002426312202050367,6.355794036034819e-06,-1,-1,0.40884476534296027,0.3982724290081494,44.839928541442426
Meta-Llama-3-8B-Instruct-Q6_K,Python/4-2,19.736995458602905,1296.6784433419282,230.9942138120674,13.637010909606229,64.89601421241247,11.705788135528564,0.6830461706032553,0.00010044415407668369,5.089130931167255e-06,-1,-1,0.40884476534296027,0.3982724290081494,44.839928541442426
Meta-Llama-3-8B-Instruct-Q6_K,Python/4-3,6.929158449172974,464.96219496946765,81.09042128217084,4.841003872806116,67.10576316860733,11.705788135528564,0.6988026777271426,3.590066604147092e-05,5.181100461883049e-06,-1,-1,0.40884476534296027,0.3982724290081494,44.839928541442426
