LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/10,60.86620473861694,1369.4660836458204,333.4000024753159,-15.86701269359996,22.5,5.794223785400391,3.387641620965657,0.00010265061334208948,1.686496041323933e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/11,26.832953214645386,603.7323760986328,145.9112038648991,-52.29604183680001,22.5,5.794223785400391,28.124714055539236,4.2432241741465275e-05,1.5813481804271107e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/12,28.904898405075073,650.3530526161193,158.01454708549502,-29.81002384799996,22.5,5.794223785400391,24.74402575963268,4.737371462873939e-05,1.6389510858969702e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/13,16.145835161209106,363.27623248100286,84.03837020114588,-327.120261696,22.5,5.794223785400391,22.553487567186707,7.313591937788565e-06,4.5297080422075083e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/14,11.771291494369507,264.8512852191925,68.19758973831176,130.08210406559994,22.5,5.794223785400391,11.051766592055527,2.818061954109668e-05,2.394012547780008e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/15,13.753609895706177,309.4517970085144,70.18399413620773,-355.0742840592,22.5,5.794223785400391,29.31331081954869,1.4945199476680215e-06,1.0866383145959409e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/16,19.85326862335205,446.69012725353247,105.45305103723332,-109.69608775680001,22.5,5.794223785400391,27.83549714517917,2.6922045145204667e-05,1.3560510189006406e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/17,24.056776762008667,541.2696987390518,129.7003645591767,-84.05106724079997,22.5,5.794223785400391,28.343670171509093,3.57128796787133e-05,1.4845247155101998e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/18,15.684691905975342,352.9008257389068,81.35506679955415,-324.97425997920004,22.5,5.794223785400391,23.144607565268362,6.649574849167717e-06,4.2395316969117204e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/19,63.79780864715576,1435.4269731044767,350.3265851523947,122.96009836799999,22.5,5.794223785400391,3.178969615628094,0.00011614151461795776,1.8204624434719606e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/20,26.43924856185913,594.8755019903183,143.5621424364399,-73.3190586552,22.5,5.794223785400391,27.713549967959683,4.047117265806032e-05,1.5307232565014512e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/21,17.995657682418823,404.89297986030573,94.75880400799453,-286.5162292128,22.5,5.794223785400391,28.158887478596355,1.2968884070542027e-05,7.206674131844711e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/22,10.327924489974976,232.3755973577499,59.83439002168325,92.76707421359997,22.5,5.794223785400391,8.983065359547755,2.3425105631427413e-05,2.2681329297251837e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/23,17.56356906890869,395.1716083288193,92.21652322819773,-335.4992683992,22.5,5.794223785400391,26.88472723669012,9.242141983697022e-06,5.262109282820886e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/24,21.788007020950317,490.2226155996322,116.64707235797867,-90.33707226959999,22.5,5.794223785400391,27.256581888810782,3.1430005295640515e-05,1.4425369546383435e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/25,26.783203601837158,602.6128488779068,145.49075384840492,-22.745018196,22.5,5.794223785400391,27.988514823582964,4.413665944919955e-05,1.6479230828896082e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/26,13.022262811660767,292.99808084964747,75.44819400627148,-254.74920379920002,22.5,5.794223785400391,19.563591592330205,6.9182456961631824e-06,5.31262945328384e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/27,41.034127712249756,923.2547897100447,218.61904746697292,-281.8752255,22.5,5.794223785400391,33.83337117608526,5.232924330102382e-05,1.2752615010603033e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/28,6.315082788467407,142.08602070808408,36.58293660964592,111.6560893248,22.5,5.794223785400391,17.68377669799226,1.7665714567273924e-05,2.7973844776089112e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/29,11.883048057556152,267.3658937215805,59.29788848447424,-339.26827141440003,22.5,5.794223785400391,33.15012788631216,-7.669586595987957e-07,-6.454225009307311e-08,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/30,60.14856290817261,1353.3178442716596,337.120460308206,118.09009447199996,22.5,5.794223785400391,3.8283952096478195,0.00011004543649930788,1.8295605277770586e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/31,76.64127111434937,1724.3990367650983,503.56127585610915,-343.7412749928,22.5,5.794223785400391,0.0,0.00011465106468044878,1.4959441957765616e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/32,41.528695821762085,934.3813651800155,221.57066034881976,-201.54516123599998,22.5,5.794223785400391,32.70358717816381,5.8073801901094e-05,1.3984017738082172e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/33,28.114773511886597,632.573869228363,153.41642881909954,106.98608558879995,22.5,5.794223785400391,27.111940300039734,5.433587660129839e-05,1.932645005243447e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/34,19.566861867904663,440.2462434768676,113.35138986341735,-44.86703589360003,22.5,5.794223785400391,28.009546375632546,3.0955267656246855e-05,1.582025153814904e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/35,52.03224229812622,1170.70494890213,282.28595168712036,-174.67213973759996,22.5,5.794223785400391,28.315053785276216,7.778321097801015e-05,1.4949040737537324e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/36,20.57239079475403,462.8711539506912,109.66015799946126,-208.39316671440002,22.5,5.794223785400391,27.26860208737932,2.215709809120202e-05,1.0770307793711605e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/37,76.03129482269287,1710.6772899627683,411.627923753742,-301.72324137839996,22.5,5.794223785400391,21.66723355450453,0.00011077887299627225,1.457016788345006e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/38,44.07254648208618,991.6187614202499,254.7476747058718,-19.521015616799982,22.5,5.794223785400391,9.738495719728634,7.465115830523012e-05,1.693824484037313e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/39,65.60727262496948,1476.140014529228,360.95580453890034,21.797017437599987,22.5,5.794223785400391,3.8947603497323455,0.00011311001458752481,1.7240468939182247e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/40,70.95493626594543,1596.4629346132278,392.05612703106726,-372.60729808559995,22.5,5.794223785400391,33.54404516212599,9.832508876189525e-05,1.385739934898455e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/41,16.64986777305603,374.6153247356415,178.14721551544702,-205.27016421599998,22.5,5.794223785400391,0.0,2.1144235402115064e-05,1.269934133430905e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/42,20.45756196975708,460.2874195575714,108.90465371688062,-99.99607999680002,22.5,5.794223785400391,28.37278800576256,2.854966386540264e-05,1.3955555362661647e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/43,23.38570213317871,526.171093583107,125.69949435730814,-126.63910131119995,22.5,5.794223785400391,27.729415572618514,3.195931467794152e-05,1.3666177092283624e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/44,44.56055808067322,1002.6005405187606,248.533608742242,3.891003112800026,22.5,5.794223785400391,24.624412928081746,7.636584019526073e-05,1.7137541243762402e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/45,37.12883424758911,835.387419462204,205.34393436117537,-3.448002758400017,22.5,5.794223785400391,3.5306242525022538,6.311667497245469e-05,1.6999368887148147e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/46,45.68377900123596,1027.8717398643491,245.60371088240666,-367.42429393919997,22.5,5.794223785400391,22.97993388233277,5.513145112560155e-05,1.2068058363584584e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/47,45.65182662010193,1027.1533960103989,245.3897891123488,-201.4591611672,22.5,5.794223785400391,22.69029074299362,6.517338019431517e-05,1.4276182361039917e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/48,18.073843002319336,406.6525465250015,103.58682455300004,-123.24009859200001,22.5,5.794223785400391,27.774956930114527,2.3548153232187805e-05,1.3028857907621513e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/49,76.6537663936615,1724.6823048591611,515.4454395056564,-279.645223716,22.5,5.794223785400391,0.0,0.00011929154933213481,1.556238590019225e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/50,15.305456399917603,344.3699634075165,79.26522214348824,-206.6821653456,22.5,5.794223785400391,15.107862183929232,1.3201169426404033e-05,8.625139349960908e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/51,54.96451997756958,1236.6832941770554,299.35340088207613,29.201023360800015,22.5,5.794223785400391,28.414204612159804,9.524167164806702e-05,1.7327845615123012e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/52,10.057157278060913,226.28319025039673,58.26543236667295,38.06703045360001,22.5,5.794223785400391,3.785464733910745,1.9630535181135946e-05,1.951897006121082e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/53,39.47667622566223,888.2122653722761,219.17160836742914,-394.5563156448,22.5,5.794223785400391,43.79324456984401,4.3374170856489806e-05,1.0987290472112737e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/54,40.41113495826721,909.2364227771758,214.91365849724843,-205.28516422800004,22.5,5.794223785400391,36.26372904564386,5.591114352049176e-05,1.3835578629066342e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/55,62.79436945915222,1412.8508412837982,352.5274721892929,-176.66614133280004,22.5,5.794223785400391,26.795997960874857,9.667004651217978e-05,1.5394699770823196e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/56,40.12241053581238,902.7383154630662,213.38074703279383,-235.33518826800002,22.5,5.794223785400391,37.33761066322479,5.359398611145427e-05,1.3357618696318722e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/57,30.770049333572388,692.3131871223449,168.72307002525395,116.3380930704,22.5,5.794223785400391,3.6750337168629614,5.947132876063982e-05,1.932766766667229e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/58,46.686800718307495,1050.4364722967146,354.0308855390449,-351.55028124,22.5,5.794223785400391,0.0,6.406795677209191e-05,1.372292720562638e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/59,46.808703660964966,1053.1779366731641,261.5372295055977,7.034005627200014,22.5,5.794223785400391,29.570064085691616,8.042586703655872e-05,1.7181818923908378e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/60,22.81358551979065,513.2969033718109,122.6284799370369,-149.2161193728,22.5,5.794223785400391,27.848773590293508,2.961531233138419e-05,1.2981437006336895e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/61,29.44027042388916,662.3986065387726,160.96329207589224,-6.234004987199968,22.5,5.794223785400391,24.421879359732703,4.972064346743807e-05,1.688865039333759e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/62,45.079737186431885,1014.2799031734467,242.13078136836702,-336.66626933279997,22.5,5.794223785400391,24.02134449199846,5.596465927355002e-05,1.241459306696985e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/63,73.05049991607666,1643.6107617616653,394.54506862167364,-210.68216854559998,22.5,5.794223785400391,27.785622109523178,0.00011119821890181729,1.5222102385276796e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/64,73.20438504219055,1647.0761328935623,404.9001943942539,-89.8110718488,22.5,5.794223785400391,15.744459488546594,0.00011939394047213412,1.630967057551576e-06,0.042682926829268296
